  1458 id=   5 tag= 5 name=ScenarioEvent
  1699 id=   6 tag= 7 name=LoseAction
  1764 id=   8 tag= 9 name=LordDiesTrigger
  1787 id=   9 tag= 0 name=Trigger
  1835 id=  10 tag= 7 name=WinAction
  1881 id=  11 tag= 9 name=GoodsAcquiredTrigger
  2134 id=  12 tag= 9 name=GoldAcquiredTrigger
  2210 id=  13 tag= 9 name=HonourAcquiredTrigger
  2288 id=  14 tag= 9 name=NoFoodInGranaryTrigger
  2371 id=  15 tag= 9 name=NoGongInYourEstatesTrigger
  2442 id=  16 tag= 9 name=NoRatsInYourEstatesTrigger
  2513 id=  17 tag= 9 name=NoCriminalsTrigger
  2576 id=  18 tag= 9 name=AlwaysTrigger
  2634 id=  19 tag= 9 name=EnemyGoodsAcquiredTrigger
  2896 id=  20 tag= 9 name=EnemyGoldAcquiredTrigger
  2981 id=  21 tag= 9 name=EnemyHonourAcquiredTrigger
  3068 id=  22 tag= 9 name=PopulationReachedTrigger
  3149 id=  23 tag= 9 name=NoPeopleLeftTrigger
  3213 id=  24 tag= 9 name=AnyEnemyOnMapTrigger
  3290 id=  25 tag= 9 name=AnyEnemyTroopOnMapTrigger
  3372 id=  26 tag= 9 name=NoEnemyOrInvasionsLeftTrigger
  3458 id=  27 tag= 9 name=AllYourTroopsDeadTrigger
  3527 id=  28 tag= 9 name=PercentTroopsKilledTrigger
  3618 id=  29 tag= 9 name=GetXTroopsTrigger
  3733 id=  30 tag= 9 name=LordDamagedTrigger
  3812 id=  31 tag= 9 name=EnemyLordDiesTrigger
  3877 id=  32 tag= 9 name=SpecificEnemyLordDiesTrigger
  3962 id=  33 tag= 9 name=RescueLordTrigger
