    12 id=   1 name=MapHeader tag=1
   124 id=   2 name=EstateMarkers tag=2
   553 id=   3 name=Scenario tag=3
   862 id=   4 name=Mission tag=4
  1458 id=   5 name=ScenarioEvent tag=5
  1735 id=   6 name=LoseAction tag=7
  1753 id=   7 name=ScenarioAction tag=0
  1800 id=   8 name=LordDiesTrigger tag=9
  1823 id=   9 name=Trigger tag=0
  1871 id=  10 name=WinAction tag=7
  1917 id=  11 name=GoodsAcquiredTrigger tag=9
  2170 id=  12 name=GoldAcquiredTrigger tag=9
  2246 id=  13 name=HonourAcquiredTrigger tag=9
  2324 id=  14 name=NoFoodInGranaryTrigger tag=9
  2407 id=  15 name=NoGongInYourEstatesTrigger tag=9
  2478 id=  16 name=NoRatsInYourEstatesTrigger tag=9
  2549 id=  17 name=NoCriminalsTrigger tag=9
  2612 id=  18 name=AlwaysTrigger tag=9
  2670 id=  19 name=EnemyGoodsAcquiredTrigger tag=9
  2932 id=  20 name=EnemyGoldAcquiredTrigger tag=9
  3017 id=  21 name=EnemyHonourAcquiredTrigger tag=9
  3104 id=  22 name=PopulationReachedTrigger tag=9
  3185 id=  23 name=NoPeopleLeftTrigger tag=9
  3249 id=  24 name=AnyEnemyOnMapTrigger tag=9
  3326 id=  25 name=AnyEnemyTroopOnMapTrigger tag=9
  3408 id=  26 name=NoEnemyOrInvasionsLeftTrigger tag=9
  3494 id=  27 name=AllYourTroopsDeadTrigger tag=9
  3563 id=  28 name=PercentTroopsKilledTrigger tag=9
  3654 id=  29 name=GetXTroopsTrigger tag=9
  3769 id=  30 name=LordDamagedTrigger tag=9
  3848 id=  31 name=EnemyLordDiesTrigger tag=9
  3913 id=  32 name=SpecificEnemyLordDiesTrigger tag=9
  3998 id=  33 name=RescueLordTrigger tag=9
  4072 id=  34 name=MultipleLordsDeadTrigger tag=9
  4160 id=  35 name=PlayerKillsLordXTrigger tag=9
  4240 id=  36 name=OtherLordsKillsLordXTrigger tag=9
  4324 id=  37 name=SpecificLordKillsLordXTrigger tag=9
  4414 id=  38 name=OutlawCampDestroyedTrigger tag=9
  4485 id=  39 name=BreachInWallTrigger tag=9
  4561 id=  40 name=EnemyTroopsOnWallsTrigger tag=9
  4643 id=  41 name=SomeEnemiesCloseToKeepTrigger tag=9
  4729 id=  42 name=ManyEnemiesCloseToKeepTrigger tag=9
