payloadLen=1150 half=575 even=True
off=0 a=08 b=00
off=4 a=01 b=00
off=6 a=00 b=08
off=8 a=48 b=00
off=9 a=68 b=00
off=10 a=11 b=01
off=11 a=40 b=00
off=12 a=01 b=00
off=15 a=00 b=6D
off=16 a=CC b=0A
off=17 a=00 b=40
off=18 a=00 b=01
off=20 a=C8 b=00
off=22 a=00 b=CC
off=24 a=01 b=00
off=25 a=01 b=00
off=26 a=01 b=C8
off=27 a=01 b=00
off=28 a=01 b=00
off=29 a=01 b=00
off=224 a=02 b=01
off=225 a=00 b=01
off=226 a=00 b=01
off=227 a=00 b=01
off=228 a=5E b=01
off=229 a=00 b=01
off=230 a=00 b=02
off=232 a=2D b=00
off=234 a=00 b=5E
off=236 a=01 b=00
off=237 a=01 b=00
off=238 a=01 b=2D
off=239 a=01 b=00
off=240 a=01 b=00
off=241 a=01 b=00
off=326 a=04 b=01
off=327 a=00 b=01
off=328 a=00 b=01
off=329 a=00 b=01
off=330 a=0C b=01
off=331 a=00 b=01
off=332 a=00 b=04
off=334 a=F4 b=00
off=335 a=01 b=00
off=336 a=00 b=0C
off=340 a=00 b=F4
off=341 a=00 b=01
off=342 a=50 b=00
off=346 a=05 b=00
off=348 a=00 b=50
off=350 a=B8 b=00
off=352 a=00 b=05
off=354 a=2D b=00
off=356 a=00 b=B8
off=360 a=00 b=2D
off=362 a=48 b=00
off=366 a=28 b=00
off=368 a=00 b=48
off=372 a=00 b=28
off=446 a=0A b=00
off=450 a=0A b=00
off=452 a=00 b=0A
off=454 a=0A b=00
off=456 a=00 b=0A
off=458 a=0A b=00
off=460 a=00 b=0A
off=464 a=00 b=0A
off=538 a=06 b=00
off=542 a=0F b=00
off=544 a=00 b=06
off=548 a=00 b=0F
off=561 a=AF b=00
off=562 a=1E b=00
off=563 a=FF b=00
off=564 a=FF b=00
off=565 a=F0 b=00
off=566 a=73 b=00
off=567 a=E9 b=AF
off=568 a=3F b=1E
off=569 a=04 b=FF
off=570 a=00 b=FF
off=571 a=00 b=48
off=572 a=00 b=68
off=573 a=04 b=11
off=574 a=00 b=40
diffCount=85
