FileName,MapType,DominantLargeStart,HeightLayerOffset,DimensionPairs,CandidateRank,Width,Height,PairOffset,DataStart,Format,BytesPerValue,MeanNeighborDiff,UniqueSampleValues,ContinuityScore
Arena of Kings.s2m,kingmaker,16668,5449335,1024x256@5449383,1,1024,256,5449383,5449391,u8,1,59.938023,256,37.0846
Arena of Kings.s2m,kingmaker,16668,5449335,1024x256@5449383,2,1024,256,5449383,5449423,u8,1,60.558163,256,36.9046
Arena of Kings.s2m,kingmaker,16668,5449335,1024x256@5449383,3,1024,256,5449383,5449419,u8,1,60.661479,256,36.8748
Arena of Kings.s2m,kingmaker,16668,5449335,1024x256@5449383,4,1024,256,5449383,5449411,u8,1,60.726716,256,36.8560
Arena of Kings.s2m,kingmaker,16668,5449335,1024x256@5449383,5,1024,256,5449383,5449415,u8,1,60.767809,256,36.8442
Arena of Kings.s2m,kingmaker,16668,5449335,1024x256@5449383,6,1024,256,5449383,5449407,u8,1,60.808440,256,36.8325
Arena of Kings.s2m,kingmaker,16668,5449335,1024x256@5449383,7,1024,256,5449383,5449403,u8,1,60.812223,256,36.8314
Arena of Kings.s2m,kingmaker,16668,5449335,1024x256@5449383,8,1024,256,5449383,5449399,u8,1,60.909141,256,36.8036
Australia.s2m,kingmaker,10489,5338778,1024x256@5338858,1,1024,256,5338858,5338898,u8,1,35.811823,114,45.3019
Australia.s2m,kingmaker,10489,5338778,1024x256@5338858,2,1024,256,5338858,5338894,u8,1,36.205432,79,44.9975
Australia.s2m,kingmaker,10489,5338778,1024x256@5338858,3,1024,256,5338858,5338890,u8,1,36.596303,22,44.6150
Australia.s2m,kingmaker,10489,5338778,1024x256@5338858,4,1024,256,5338858,5338886,u8,1,37.248001,5,19.9197
Australia.s2m,kingmaker,10489,5338778,1024x256@5338858,5,1024,256,5338858,5338882,u8,1,38.055026,5,19.7623
Australia.s2m,kingmaker,10489,5338778,1024x256@5338858,6,1024,256,5338858,5338878,u8,1,38.862051,5,19.6073
Australia.s2m,kingmaker,10489,5338778,1024x256@5338858,7,1024,256,5338858,5338874,u8,1,39.669076,5,19.4547
Australia.s2m,kingmaker,10489,5338778,1024x256@5338858,8,1024,256,5338858,5338870,u8,1,40.476101,5,19.3045
Baltic.s2m,kingmaker,12633,5398242,1024x256@5398834,1,1024,256,5398834,5398874,u8,1,24.480807,157,51.2074
Baltic.s2m,kingmaker,12633,5398242,1024x256@5398834,2,1024,256,5398834,5398870,u8,1,25.090705,157,50.8608
Baltic.s2m,kingmaker,12633,5398242,1024x256@5398834,3,1024,256,5398834,5398866,u8,1,25.748770,157,50.4921
Baltic.s2m,kingmaker,12633,5398242,1024x256@5398834,4,1024,256,5398834,5398862,u8,1,26.309332,157,50.1822
Baltic.s2m,kingmaker,12633,5398242,1024x256@5398834,5,1024,256,5398834,5398858,u8,1,26.805333,156,49.9076
Baltic.s2m,kingmaker,12633,5398242,1024x256@5398834,6,1024,256,5398834,5398854,u8,1,27.278574,153,49.6408
Baltic.s2m,kingmaker,12633,5398242,1024x256@5398834,7,1024,256,5398834,5398850,u8,1,27.760519,150,49.3721
Baltic.s2m,kingmaker,12633,5398242,1024x256@5398834,8,1024,256,5398834,5398846,u8,1,28.237112,146,49.1051
Coastal County.s2m,freebuild,14689,5557690,1024x256@5557770,1,1024,256,5557770,5557778,u8,1,55.634750,256,38.3848
Coastal County.s2m,freebuild,14689,5557690,1024x256@5557770,2,1024,256,5557770,5557782,u8,1,57.150867,256,37.9162
Coastal County.s2m,freebuild,14689,5557690,1024x256@5557770,3,1024,256,5557770,5557786,u8,1,57.758458,256,37.7317
Coastal County.s2m,freebuild,14689,5557690,1024x256@5557770,4,1024,256,5557770,5557790,u8,1,58.361159,256,37.5504
Coastal County.s2m,freebuild,14689,5557690,1024x256@5557770,5,1024,256,5557770,5557794,u8,1,58.845534,256,37.4061
Coastal County.s2m,freebuild,14689,5557690,1024x256@5557770,6,1024,256,5557770,5557798,u8,1,59.456170,256,37.2257
Coastal County.s2m,freebuild,14689,5557690,1024x256@5557770,7,1024,256,5557770,5557802,u8,1,59.826187,256,37.1172
Coastal County.s2m,freebuild,14689,5557690,1024x256@5557770,8,1024,256,5557770,5557806,u8,1,60.242095,256,36.9961
Egypt.s2m,kingmaker,17173,5329753,1024x256@5329801,1,1024,256,5329801,5329809,u8,1,30.414247,254,48.3806
Egypt.s2m,kingmaker,17173,5329753,1024x256@5329801,2,1024,256,5329801,5329813,u8,1,31.206693,254,47.9857
Egypt.s2m,kingmaker,17173,5329753,1024x256@5329801,3,1024,256,5329801,5329817,u8,1,31.382597,254,47.8989
Egypt.s2m,kingmaker,17173,5329753,1024x256@5329801,4,1024,256,5329801,5329821,u8,1,31.516671,254,47.8330
Egypt.s2m,kingmaker,17173,5329753,1024x256@5329801,5,1024,256,5329801,5329825,u8,1,31.621555,252,47.7742
Egypt.s2m,kingmaker,17173,5329753,1024x256@5329801,6,1024,256,5329801,5329829,u8,1,31.773407,252,47.6999
Egypt.s2m,kingmaker,17173,5329753,1024x256@5329801,7,1024,256,5329801,5329841,u8,1,31.881859,254,47.6543
Egypt.s2m,kingmaker,17173,5329753,1024x256@5329801,8,1024,256,5329801,5329833,u8,1,31.875923,252,47.6499
Germany.s2m,kingmaker,17767,5346669,1024x256@5346893,1,1024,256,5346893,5346905,u8,1,0.679841,3,31.1739
Germany.s2m,kingmaker,17767,5346669,1024x256@5346893,2,1024,256,5346893,5346909,u8,1,0.679841,3,31.1739
Germany.s2m,kingmaker,17767,5346669,1024x256@5346893,3,1024,256,5346893,5346913,u8,1,0.679841,3,31.1739
Germany.s2m,kingmaker,17767,5346669,1024x256@5346893,4,1024,256,5346893,5346917,u8,1,0.679841,3,31.1739
Germany.s2m,kingmaker,17767,5346669,1024x256@5346893,5,1024,256,5346893,5346921,u8,1,0.679841,3,31.1739
Germany.s2m,kingmaker,17767,5346669,1024x256@5346893,6,1024,256,5346893,5346925,u8,1,0.679841,3,31.1739
Germany.s2m,kingmaker,17767,5346669,1024x256@5346893,7,1024,256,5346893,5346929,u8,1,0.679841,3,31.1739
Germany.s2m,kingmaker,17767,5346669,1024x256@5346893,8,1024,256,5346893,5346933,u8,1,0.679841,3,31.1739
Great Britain.s2m,kingmaker,13947,5395476,1024x256@5395524,1,1024,256,5395524,5395532,u8,1,54.585445,248,38.6869
Great Britain.s2m,kingmaker,13947,5395476,1024x256@5395524,2,1024,256,5395524,5395536,u8,1,56.317698,249,38.1466
Great Britain.s2m,kingmaker,13947,5395476,1024x256@5395524,3,1024,256,5395524,5395540,u8,1,56.488374,250,38.0975
Great Britain.s2m,kingmaker,13947,5395476,1024x256@5395524,4,1024,256,5395524,5395544,u8,1,56.629521,251,38.0577
Great Britain.s2m,kingmaker,13947,5395476,1024x256@5395524,5,1024,256,5395524,5395548,u8,1,56.740557,251,38.0235
Great Britain.s2m,kingmaker,13947,5395476,1024x256@5395524,6,1024,256,5395524,5395552,u8,1,56.837968,252,37.9973
Great Britain.s2m,kingmaker,13947,5395476,1024x256@5395524,7,1024,256,5395524,5395564,u8,1,56.928642,251,37.9658
Great Britain.s2m,kingmaker,13947,5395476,1024x256@5395524,8,1024,256,5395524,5395556,u8,1,56.944667,252,37.9646
India.s2m,kingmaker,12739,5368134,1024x256@5368182,1,1024,256,5368182,5368190,u8,1,49.468535,5,17.7753
India.s2m,kingmaker,12739,5368134,1024x256@5368182,2,1024,256,5368182,5368194,u8,1,49.479331,5,17.7736
India.s2m,kingmaker,12739,5368134,1024x256@5368182,3,1024,256,5368182,5368198,u8,1,49.479331,5,17.7736
India.s2m,kingmaker,12739,5368134,1024x256@5368182,4,1024,256,5368182,5368202,u8,1,49.479331,5,17.7736
India.s2m,kingmaker,12739,5368134,1024x256@5368182,5,1024,256,5368182,5368206,u8,1,49.479331,5,17.7736
India.s2m,kingmaker,12739,5368134,1024x256@5368182,6,1024,256,5368182,5368210,u8,1,49.479331,5,17.7736
India.s2m,kingmaker,12739,5368134,1024x256@5368182,7,1024,256,5368182,5368214,u8,1,49.479331,5,17.7736
India.s2m,kingmaker,12739,5368134,1024x256@5368182,8,1024,256,5368182,5368218,u8,1,49.479331,5,17.7736
Kill Barclay.s2m,warcampaign,13742,6300856,1024x256@6301032,1,1024,256,6301032,6301040,u8,1,0.000000,1,14.0007
Kill Barclay.s2m,warcampaign,13742,6300856,1024x256@6301032,2,1024,256,6301032,6301044,u8,1,0.000000,1,14.0007
Kill Barclay.s2m,warcampaign,13742,6300856,1024x256@6301032,3,1024,256,6301032,6301048,u8,1,0.000000,1,14.0007
Kill Barclay.s2m,warcampaign,13742,6300856,1024x256@6301032,4,1024,256,6301032,6301052,u8,1,0.000000,1,14.0007
