FileName,MapType,DominantLargeStart,RegionIndex,Start,EndExclusive,Length,Label,Confidence,AnchorTokens,TopTokens,DimensionPairs
Arena of Kings.s2m,kingmaker,16668,0,0,266240,266240,mixed-unknown,47,S2Game|Simulation|Floaters|Landscape,ETu9EW|A2bVBG|A2jlA|A5DtW7DYV8DU|A8eYChD|ACDkA|ACQyDC|APa0B,
Arena of Kings.s2m,kingmaker,16668,1,266240,786432,520192,binary-opaque,35,,,
Arena of Kings.s2m,kingmaker,16668,2,786432,1187840,401408,grid-or-terrain,76,,,256x257:5|513x257:5|512x512:4|513x770:4|514x515:4|256x256:3
Arena of Kings.s2m,kingmaker,16668,3,1187840,1454080,266240,binary-opaque,39,,,1024x512:4|1539x1028:4|512x1024:4|771x512:4
Arena of Kings.s2m,kingmaker,16668,4,1454080,1843200,389120,binary-opaque,35,,,
Arena of Kings.s2m,kingmaker,16668,5,1843200,2105344,262144,binary-opaque,35,,,
Arena of Kings.s2m,kingmaker,16668,6,2105344,2268635,163291,entities-and-systems,68,,ActorHandler|Campaign|EnvironmentalSound|FlyHandler|S2ActorHandler|S2FlyHandler|WorldMgr,
Arena of Kings.s2m,kingmaker,16668,7,2268635,4300800,2032165,environment-fx,81,FX_ENVIRONMENT_,FX_ENVIRONMENT_INSECTS|FX_ENVIRONMENT_VILLAGELIFE|FX_ENVIRONMENT_BIRDSPARSE|FX_ENVIRONMENT_BROOK|ActorMgr|BuildingHandler|BuildingMgr|ElementMgr,
Arena of Kings.s2m,kingmaker,16668,8,4300800,4562944,262144,grid-or-terrain,85,,BiDiPathfinder|Camera|ClanMgr|EmitterMgr|Estate|FHi8bD|Forest|G67J,768x768:45|512x512:16|512x1024:15
Arena of Kings.s2m,kingmaker,16668,9,4562944,4837376,274432,grid-or-terrain,83,,C33s|Cfff|B33s|lC33s|TCfff|VC33s|AOgGtU|ActorGroup,128x128:4
Arena of Kings.s2m,kingmaker,16668,10,4837376,5251072,413696,entities-and-systems,66,,ClaimLayer|ConnectionLayer|ContextLayer,
Arena of Kings.s2m,kingmaker,16668,11,5251072,5517312,266240,mixed-unknown,47,,A7DN|BSVoB|BcRIBN|BhIrB|BplBB|BusKB|Bx5gB|C28LC,
Arena of Kings.s2m,kingmaker,16668,12,5517312,6017024,499712,mixed-unknown,47,,DNNQD|E7YtE|BSVoB|C28LC|C9_JC|D0zUD|E0luE|EKxxE,
Arena of Kings.s2m,kingmaker,16668,13,6017024,6443008,425984,mixed-unknown,47,,E9WgE|EMcaE|ElOoE|Bl1vB|CLVFC|CL_qC|CXv6C|EHQsE,
Arena of Kings.s2m,kingmaker,16668,14,6443008,6754304,311296,mixed-unknown,47,,DuDRD|EgFwD|ElpXE|AkEIB|B9m0B|BNSqB|CwTpD|DgFwD,
Arena of Kings.s2m,kingmaker,16668,15,6754304,8855552,2101248,binary-opaque,35,,,
Arena of Kings.s2m,kingmaker,16668,16,8855552,9134080,278528,grid-or-terrain,72,,LinkageLayer|LogicLayer,1024x1024:278
Arena of Kings.s2m,kingmaker,16668,17,9134080,9658368,524288,entities-and-systems,65,,ProximityLayer,
Arena of Kings.s2m,kingmaker,16668,18,9658368,9689710,31342,entities-and-systems,69,,ActorAssets|BuildingAssets|Emitter|RippleEmitter|SearchLayer|SpreadLayer|TempLayer,61x62:4
Australia.s2m,kingmaker,10489,0,0,266240,266240,mixed-unknown,47,S2Game|Simulation|Floaters|Landscape,ADI5sDa|AEr2BE|AZDEqBD|AwOlAP|BB2X|BWAG|BbEP_|Bvv7D,
Australia.s2m,kingmaker,10489,1,266240,786432,520192,binary-opaque,35,,,
Australia.s2m,kingmaker,10489,2,786432,1187840,401408,binary-opaque,41,,,512x257:6|513x257:5|257x514:4|259x257:4|514x768:4|256x257:3
Australia.s2m,kingmaker,10489,3,1187840,1515520,327680,binary-opaque,35,,,
Australia.s2m,kingmaker,10489,4,1515520,1843200,327680,binary-opaque,35,,,
Australia.s2m,kingmaker,10489,5,1843200,2105344,262144,binary-opaque,35,,,
Australia.s2m,kingmaker,10489,6,2105344,2268557,163213,entities-and-systems,68,,ActorHandler|Campaign|EnvironmentalSound|FlyHandler|S2ActorHandler|S2FlyHandler|WorldMgr,
Australia.s2m,kingmaker,10489,7,2268557,4300800,2032243,environment-fx,81,FX_ENVIRONMENT_,FX_ENVIRONMENT_BEACH|FX_ENVIRONMENT_BIRDSPARSE|FX_ENVIRONMENT_OCEAN|FX_ENVIRONMENT_INSECTS|FX_ENVIRONMENT_BROOK|ActorMgr|BuildingHandler|BuildingMgr,
Australia.s2m,kingmaker,10489,8,4300800,4677632,376832,grid-or-terrain,86,,AH6r|AHtk0B|Actor|ActorGroup|Animal|AutoPlacement|B33s|BH4M2B,768x768:49|512x1024:16|512x512:16|768x1024:8
Australia.s2m,kingmaker,10489,9,4677632,5140480,462848,mixed-unknown,47,,ABBA|AAAA|ABCDDCBA|AAAAAA|AABA|ABAA|AAAAA|ABBBAA,
Australia.s2m,kingmaker,10489,10,5140480,5423104,282624,mixed-unknown,37,,DangerLayerD|DesirabilityLayerD|EstateLayerD|HeightLayerD,
Australia.s2m,kingmaker,10489,11,5423104,5984256,561152,mixed-unknown,47,,Dvv7D|A4i7B|A7NmA|AUEK|AZDpl|BiCvBtnDB|BvkU|C4nMDk,
