FileName,MapType,FileSize,HeaderEnd,SegmentAStart,SegmentACompressedLength,SegmentADecompressedLength,SegmentAClassification,SegmentAStatus,SegmentBStart,SegmentBCompressedLength,SegmentBDecompressedLength,SegmentBClassification,SegmentBStatus,DominantLargeStart,DominantLargeCompressedLength,DominantLargeDecompressedLength,DominantLargeClassification,DominantLargeTopTokens,Error
Arena of Kings.s2m,kingmaker,843825,146,146,8194,1661,scenario-like,ok,8340,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,16668,827157,9689710,world-like,C33s|Cfff|EgFwD|FX_ENVIRONMENT_INSECTS|FX_ENVIRONMENT_VILLAGELIFE|BSVoB|C28LC|D0zUD|DNNQD|DuDRD|E0luE|E7YtE,
Australia.s2m,kingmaker,349233,131,131,8194,1651,scenario-like,ok,8325,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,10489,327682,9624958,world-like,ABBA|AAAA|ABCDDCBA|AAAAAA|AABA|ABAA|Dvv7D|AAAAA|ABBBAA|FX_ENVIRONMENT_BEACH|lSh9|AAAAAAA,
Baltic.s2m,kingmaker,333320,131,131,8194,1645,scenario-like,ok,8325,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,12633,320687,9681775,world-like,AAAA|ABBA|ABCDDCBA|AAAAA|AABA|AABBA|ABCDEFFEDCBA|AAAAAA|ABCDEFGHIJJJJJJJIHGFEDCBA|Ek0CE|ABAA|D1OkD,
Bear Necessities.s2m,peacecampaign,182412,139,139,8194,2893,scenario-like,ok,8333,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,,,,,,
Coastal County.s2m,freebuild,718561,146,146,8194,1661,scenario-like,ok,8340,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,14689,703872,9807959,world-like,Cfff|C33s|B33s|CcaHC|CkG1C|CFA0C|Bfff|C77FC|ENBYE|FX_ENVIRONMENT_INSECTS|PUENBYE|CgSIC,
Egypt.s2m,kingmaker,499539,146,146,8194,1643,scenario-like,ok,8340,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,17173,482366,9556644,world-like,ABBA|AAAA|ABCCBA|PUE8G|PUE_|PUEE3|ABCDEFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFEDCBA|ZEkKaE|cEkKaE|fE15dE|AAAAAA|ABCDDCBA,
Germany.s2m,kingmaker,450597,131,131,8194,1647,scenario-like,ok,8325,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,17767,432830,9571769,world-like,AAAA|ABBA|AAAAA|ABBAA|ABCDEFGHIJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJIHGFEDCBA|CrsmC|FX_ENVIRONMENT_BROOK|ABBBA|ABCDEFGHIJJJJJJJJJJJJJJJJJJJJJJJJJJJIHGFEDCBA|FX_ENVIRONMENT_WINDLIGHT|AAAAAAA|ABCDEFGHIJJJJJJJJJJJJJJJJJJIHGFEDCBA,
Grasslands.s2m,kingmaker,348043,131,131,8194,1653,scenario-like,ok,8325,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,,,,,,
Great Britain.s2m,kingmaker,520729,146,146,8194,1659,scenario-like,ok,8340,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,13947,409602,9751898,world-like,PUEsf|FX_ENVIRONMENT_OCEAN|PUEX2|Cfff|C33s|Ecq9E|B33s|Db4mD|PUE36HE|PUE5i|PUE6RyE|PUEHNAEHNAE,
hawk rescue.s2m,warcampaign,367390,135,135,8194,4698,scenario-like,ok,8329,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,,,,,,
India.s2m,kingmaker,402443,146,146,8194,1643,scenario-like,ok,8340,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,12739,389704,9605287,world-like,FX_ENVIRONMENT_OCEAN|CpOrC|CWgIC|CWxrC|C33s|qC81|ABBA|PUEYKaE|BcywC|BzX8C|Cfff|D0weD,
Island Hopping.s2m,freebuild,201090,146,146,8194,1661,scenario-like,ok,8340,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,,,,,,
Kill Barclay.s2m,warcampaign,436990,135,135,8194,7620,scenario-like,ok,8329,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,13742,423248,10630171,world-like,PUE7jUE|PUENeVE|EdFtE|ElP0E|EmSFE|PUEWQUE|XEsHtE|E2WHE|EsqHE|OSFp|PUEvVUE|AKIXA,
Lookout Mountain.s2m,freebuild,944957,146,146,8194,1665,scenario-like,ok,8340,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,17821,927136,9728946,world-like,AAAA|ABBA|ABCCBA|AAAAA|AABA|AAAAAA|ABBBBA|ABBBA|ABCBA|ABAA|ABBAA|AAAAAAA,
Middlewood.s2m,kingmaker,283931,146,146,8194,1653,scenario-like,ok,8340,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,,,,,,
Mountain Hideaway.s2m,freebuild,737463,131,131,8194,1661,scenario-like,ok,8325,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,19428,718035,9705954,world-like,Cfff|C33s|FX_ENVIRONMENT_WINDLIGHT|DCmMD|DdjkD|E433E|E5cSE|E5sjE|EHJfE|EIYpE|EU07E|EXajE,
peace_chapter1.s2m,peacecampaign,632062,139,139,8194,37973,scenario-like,ok,8333,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,23730,606210,10533942,world-like,qwZH|ABBA|AAAA|AAAAA|AAAAAA|ABBBA|ABCBA|ABCCBA|AAAAAAA|AAAAAAAA|AABA|AAAAAAAAAA,
River Delta.s2m,freebuild,224246,131,131,8194,1649,scenario-like,ok,8325,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,,,,,,
River Don.s2m,kingmaker,427103,146,146,8194,1651,scenario-like,ok,8340,,,,inflate-failed: The archive entry was compressed using an unsupported compression method.,12093,415010,9717256,world-like,AAAA|ABBA|EUUUE|AAAAAA|AAAAA|ABBBBA|ABCCBA|ABBBA|AAAAAAAA|ABCDDCBA|ABCDEFFFFFFFFFFFFFFFFFFFFEDCBA|ABCDCBA,
