FileName,MapType,DominantLargeStart,DominantLargeDecompressedLength,CarveBoundaryCount,CarveBoundaryFirst,CarveAnchorHits,CarveLenPrefixedTop,CarveDimensionPairs
Arena of Kings.s2m,kingmaker,16668,9689710,134,4096,S2Game@20|Simulation@1821|Floaters@2035|Landscape@2071|FX_ENVIRONMENT_@2268635|FX_ENVIRONMENT_@2268667|FX_ENVIRONMENT_@2268699|FX_ENVIRONMENT_@2268731|FX_ENVIRONMENT_@2268763|FX_ENVIRONMENT_@2268800|FX_ENVIRONMENT_@2268837|FX_ENVIRONMENT_@2268874,FX_ENVIRONMENT_VILLAGELIFE:4|ActorAssets:1|BuildingHandler:1|ChannelLayer:1|ContextLayer:1|DangerLayer:1|Emitter:1|EstateLayer:1|FX_ENVIRONMENT_BIRDSPARSE:1|Forest:1|InvasionMarkers:1|ProximityLayer:1,1024x1024:278|768x768:47|512x512:20|512x1024:19|256x257:6|128x128:5|256x256:5|257x256:5
Australia.s2m,kingmaker,10489,9624958,145,4096,S2Game@20|Simulation@1755|Floaters@1969|Landscape@2005|FX_ENVIRONMENT_@2268557|FX_ENVIRONMENT_@2268589|FX_ENVIRONMENT_@2268621|FX_ENVIRONMENT_@2268653|FX_ENVIRONMENT_@2268685|FX_ENVIRONMENT_@2268717|FX_ENVIRONMENT_@2268749|FX_ENVIRONMENT_@2268781,FX_ENVIRONMENT_BROOK:2|Actor:1|Bridges:1|Camera:1|Cluster:1|ConnectionLayer:1|EmitterMgr:1|FX_ENVIRONMENT_BIRDSPARSE:1|FlyMgr:1|Hovel:1|Layer:1|Map:1,128x128:1541|256x256:403|768x768:50|512x512:29|384x384:23|32x32:20|384x128:16|512x1024:16
Baltic.s2m,kingmaker,12633,9681775,157,4096,S2Game@20|Simulation@1755|Floaters@1969|Landscape@2005|FX_ENVIRONMENT_@2268557|FX_ENVIRONMENT_@2268589|FX_ENVIRONMENT_@2268621|FX_ENVIRONMENT_@2268653|FX_ENVIRONMENT_@2268685|FX_ENVIRONMENT_@2268717|FX_ENVIRONMENT_@2268749|FX_ENVIRONMENT_@2268781,ActorGroup:1|BiDiPathfinder:1|BuildingMgr:1|Camera:1|ClanMgr:1|ConnectionLayer:1|ElementMgr:1|Estate:1|FX_ENVIRONMENT_BIRDBUSY:1|Grass:1|Layer:1|Rocks:1,256x256:2664|128x128:2388|32x32:651|384x384:101|256x384:98|384x128:89|320x320:52|384x256:51
Bear Necessities.s2m,peacecampaign,,,,,,,
Coastal County.s2m,freebuild,14689,9807959,142,4096,S2Game@20|Simulation@1767|Floaters@1981|Landscape@2017|FX_ENVIRONMENT_@2268581|FX_ENVIRONMENT_@2268613|FX_ENVIRONMENT_@2268645|FX_ENVIRONMENT_@2268677|FX_ENVIRONMENT_@2268709|FX_ENVIRONMENT_@2268741|FX_ENVIRONMENT_@2268773|FX_ENVIRONMENT_@2268805,FX_ENVIRONMENT_INSECTS:6|FX_ENVIRONMENT_VILLAGELIFE:2|Action:1|Building:1|Clan:1|Cluster:1|ConnectionLayer:1|Deer:1|EmitterMgr:1|Entity:1|FX_ENVIRONMENT_BEACH:1|FX_ENVIRONMENT_BIRDSPARSE:1,128x128:3326|256x256:2656|512x512:1416|768x768:172|32x32:124|256x768:90|128x512:62|768x256:61
Egypt.s2m,kingmaker,17173,9556644,118,4096,S2Game@20|Simulation@1755|Floaters@1969|Landscape@2005,Actor:1|ActorAssets:1|BiDiPathfinder:1|BuildingMgr:1|ChannelLayer:1|ClaimLayer:1|ClanMgr:1|ElementMgr:1|Emitter:1|Estate:1|InvasionMarkers:1|LinkageLayer:1,513x257:6|255x255:5|513x770:5|514x515:5|768x1024:5|256x257:4|512x769:4|771x771:4
Germany.s2m,kingmaker,17767,9571769,136,4096,S2Game@20|Simulation@1755|Floaters@1969|Landscape@2005|FX_ENVIRONMENT_@2268557|FX_ENVIRONMENT_@2268589|FX_ENVIRONMENT_@2268621|FX_ENVIRONMENT_@2268653|FX_ENVIRONMENT_@2268685|FX_ENVIRONMENT_@2268717|FX_ENVIRONMENT_@2268749|FX_ENVIRONMENT_@2268781,FX_ENVIRONMENT_WINDLIGHT:7|Bridges:1|BuildingAssets:1|BuildingHandler:1|ChannelLayer:1|FX_ENVIRONMENT_VILLAGELIFE:1|InvasionMarkers:1|LinkageLayer:1|LogicLayer:1|S2Game:1|SpreadLayer:1|ThickSmokeEmitter:1,768x768:46|512x512:19|512x1024:15|96x255:6|256x257:4|259x771:4|256x256:3|256x259:3
Grasslands.s2m,kingmaker,,,,,,,
Great Britain.s2m,kingmaker,13947,9751898,212,4096,S2Game@20|Simulation@1755|Floaters@1969|Landscape@2005|FX_ENVIRONMENT_@2268569|FX_ENVIRONMENT_@2268601|FX_ENVIRONMENT_@2268633|FX_ENVIRONMENT_@2268665|FX_ENVIRONMENT_@2268697|FX_ENVIRONMENT_@2268729|FX_ENVIRONMENT_@2268761|FX_ENVIRONMENT_@2268793,Action:1|Bridges:1|BuildingHandler:1|Camera:1|CarterCart:1|DesirabilityLayer:1|Dolphin:1|Entity:1|FX_ENVIRONMENT_BIRDBUSY:1|FX_ENVIRONMENT_BIRDSPARSE:1|HeightLayer:1|RippleEmitter:1,256x256:155|512x512:98|768x768:46|512x1024:40|74x75:15|1024x1280:6|78x79:5|512x257:4
hawk rescue.s2m,warcampaign,,,,,,,
